Party_Party,Party_Party.1,Proportional_Votes,Proportional_%,Proportional_Seats,Constituency_Votes,Constituency_%,Constituency_Seats,Total seats_Total seats
,Communist Party of Nepal (Unified Marxist–Leninist),3173494,33.25,41,3082277,30.68,80,121
,Nepali Congress,3128389,32.78,40,3590793,35.75,23,63
,Communist Party of Nepal (Maoist Centre)[a],1303721,13.66,17,1510760,15.04,36,53
,Rastriya Janata Party Nepal,472254,4.95,6,458409,4.56,11,17
,"Federal Socialist Forum, Nepal",470201,4.93,6,527924,5.26,10,16
,Bibeksheel Sajha Party,212366,2.22,0,96233,0.96,0,0
,Rastriya Prajatantra Party,196782,2.06,0,118318,1.18,1,1
,Rastriya Prajatantra Party (Democratic),88377,0.93,0,123797,1.23,0,0
,"Naya Shakti Party, Nepal",81837,0.86,0,84037,0.84,1,1
,Rastriya Janamorcha,62133,0.65,0,70014,0.70,1,1
,Nepal Workers Peasants Party,56141,0.59,0,52668,0.52,1,1
,"CPN (Marxist–Leninist)–Jana Samajbadi Party, Nepal[b]",41270,0.43,0,82182,0.82,0,0
,Nepal Federal Socialist Party,36015,0.38,0,19064,0.19,0,0
,Rastriya Janamukti Party,33091,0.35,0,27279,0.27,0,0
,Ekikrit Rastriya Prajatantrik Party (Nationalist),28835,0.30,0,34765,0.35,0,0
,Nepali Janata Dal,22049,0.23,0,8750,0.09,0,0
,Sanghiya Loktantrik Rastriya Manch,21610,0.23,0,17017,0.17,0,0
,Bahujan Shakti Party,15468,0.16,0,10382,0.10,0,0
,Mongol National Organisation,15117,0.16,0,16500,0.16,0,0
,Sanghiya Loktantrik Rastriya Manch (Tharuhat),14489,0.15,0,121,0.00,0,0
,"Patriotic People's Republican Front, Nepal",13942,0.15,0,19884,0.20,0,0
,Nepal Janata Party,9310,0.10,0,3387,0.03,0,0
,Janashakti Nepal,7981,0.08,0,,,,0
,Aamul Pariwartan Masiha Party Nepal,5161,0.05,0,793,0.01,0,0
,Rastriya Mukti Andolan Nepal,4275,0.04,0,1550,0.02,0,0
,Nepa Rastriya Party,3460,0.04,0,206,0.00,0,0
,Nepal Loktantrik Janata Congress,2389,0.03,0,815,0.01,0,0
,Churebhavar Loktantrik Party,2170,0.02,0,475,0.00,0,0
,Green Party Nepal,1685,0.02,0,334,0.00,0,0
,Nepal Samabeshi Party,1676,0.02,0,,,,0
,Nepali Congress (B.P.),1608,0.02,0,2679,0.03,0,0
,Nepalwad,1547,0.02,0,37,0.00,0,0
,Nepal Sukumbasi Party (Democratic),1456,0.02,0,,,,0
,Communist Party of Nepal (Marxist),1420,0.01,0,1440,0.01,0,0
,Tamangsaling Loktantrik Party,1397,0.01,0,77,0.00,0,0
,Nepal Yuwa Kisan Party,1334,0.01,0,1033,0.01,0,0
,"Rastriya Samajwadi Party, Nepal",1053,0.01,0,366,0.00,0,0
,Nepal Darshan,1052,0.01,0,,,,0
,"Rastriya Yatharthawadi Party, Nepal",977,0.01,0,502,0.00,0,0
,Nepal Naulo Janwadi Party,976,0.01,0,75,0.00,0,0
,Rastriya Shiva Sena Party–Rastriya Nagarik Party[c],946,0.01,0,182,0.00,0,0
,Yuwa Nepal Party,872,0.01,0,137,0.00,0,0
,Nepal Dalit Party,834,0.01,0,1092,0.01,0,0
,Sanghiya Khumbuwan Democratic Party Nepal,744,0.01,0,408,0.00,0,0
,Deshbhakta Loktantrik Party,740,0.01,0,1289,0.01,0,0
,"Janaprajatantrik Party, Nepal",721,0.01,0,138,0.00,0,0
,Liberal Democratic Party,519,0.01,0,259,0.00,0,0
,Deshbhakta Samaj,434,0.00,0,92,0.00,0,0
,Hamro Party,426,0.00,0,89,0.00,0,0
,Nepal Loktantrik Janata Congress,,,,815,0.01,0,0
,Bahujan Samaj Party Nepal,,,,708,0.01,0,0
,"Dalit, Muslim Janashakti Party",,,,544,0.01,0,0
,Rastriya Yatharthabadi Party Nepal,,,,502,0.00,0,0
,Lok Kalyankari Janta Party Nepal,,,,496,0.00,0,0
,Rastriya Samajbadi Party Nepal,,,,366,0.00,0,0
,Madhesh Terai Forum,,,,152,0.00,0,0
,Nepali Greens,,,,78,0.00,0,0
,Muskan Sena Nepal,,,,22,0.00,0,0
,Independents,,,,73243,0.73,1,1
Total,Total,9544744,100.00,110,10045555,100.00,165,275
,,,,,,,,
Valid votes,Valid votes,9544744,90.15,,,,,
Invalid/blank votes,Invalid/blank votes,1042777,9.85,,,,,
Total votes,Total votes,10587521,100.00,,,,,
Registered voters/turnout,Registered voters/turnout,15427731,68.63,,,,,
"Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post","Source: Election Commission, Kathmandu Post"
